trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9510388167158028}",25,0,-204.4016252468327,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.9508474833968491}",30,0,-71.22938175520638,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9506554219367369}",30,0,-179.05647836188405,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.9504626297202252}",20,15,-2.285059297454806,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.9502691041239321}",20,0,-151.51246977143714,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.9500748425163201}",20,0,-138.7076078943911,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.949879842257682}",20,0,-81.63814134951012,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.9496841007001249}",25,9,-49.334378826048585,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.9494876151875565}",20,0,-161.58869247366076,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9492903830556702}",25,0,-167.93793768595643,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.9490924016319298}",25,0,-94.26261773397874,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.948893668235556}",20,0,-196.54967761786054,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.9486941801775118}",35,8,-116.93103445337749,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 3}",1
14,False,"{'a': 0.6, 'e': 0.9484939347604877}",30,0,-146.53627854223114,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.9482929292788876}",25,18,-42.226818085063,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.6, 'e': 0.9480911610188151}",20,0,-7.357565422042357,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.9478886272580587}",25,0,-175.0166733853907,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.9476853252660781}",30,0,-182.56080698546162,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.6, 'e': 0.9474812523039906}",20,0,-34.72568324901691,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.9472764056245568}",25,0,-153.13242115722386,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.9470707824721669}",25,0,-71.3579174076375,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.9468643800828274}",20,0,-35.3085656898539,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.9466571956841467}",20,0,-111.57055829639597,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.9464492264953229}",20,0,-119.32567856044523,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.9462404697271292}",20,0,-84.696832853588,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.946030922581901}",20,0,-155.1347550562636,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.6, 'e': 0.9458205822535232}",25,0,-162.9304834407105,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.945609445927416}",25,0,-97.92724844148519,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.9453975107805233}",30,0,-154.63712340047573,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.6, 'e': 0.9451847739812983}",20,0,-143.28776635367333,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.944971232689692}",20,0,-173.81824809487327,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
32,False,"{'a': 0.6, 'e': 0.9447568840571393}",20,0,-151.70172788115556,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.6, 'e': 0.9445417252265474}",30,0,-216.15677727924415,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
34,False,"{'a': 0.6, 'e': 0.944325753332283}",25,6,-124.79469377382438,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
35,False,"{'a': 0.6, 'e': 0.9441089655001593}",25,14,-12.747021848194834,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.9438913588474245}",20,0,-56.53792605708877,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.6, 'e': 0.9436729304827493}",25,0,-185.10892261461066,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.6, 'e': 0.9434536775062148}",30,0,-194.77186980884673,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
39,False,"{'a': 0.6, 'e': 0.9432335970093003}",25,0,-150.34022565912446,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
40,False,"{'a': 0.6, 'e': 0.9430126860748724}",35,0,-93.32368159445681,"{0: 22, 1: 4, 2: 9, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.9427909417771719}",20,3,-109.80456303455578,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
42,False,"{'a': 0.6, 'e': 0.9425683611818033}",30,0,-164.79081554772225,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.6, 'e': 0.9423449413457227}",30,0,-217.10975273421363,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
44,False,"{'a': 0.6, 'e': 0.9421206793172267}",20,0,-64.31457416854867,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.9418955721359411}",25,0,-107.38675336525007,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.9416696168328097}",20,0,-104.31807173305445,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
47,False,"{'a': 0.6, 'e': 0.9414428104300833}",20,12,-25.064951396636907,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.9412151499413088}",20,0,-86.56721967566116,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.9409866323713187}",35,0,-206.80075129670476,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
50,False,"{'a': 0.6, 'e': 0.9407572547162202}",25,0,-115.71156386463704,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
51,False,"{'a': 0.6, 'e': 0.9405270139633845}",35,0,-79.51635379479724,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.940295907091437}",20,3,-146.36014059708222,"{0: 6, 1: 3, 2: 6, 3: 0, 4: 2}",1
53,False,"{'a': 0.6, 'e': 0.9400639310702469}",20,0,-149.9656992358054,"{0: 7, 1: 7, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.6, 'e': 0.9398310828609167}",25,0,-79.10929099623839,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.9395973594157729}",25,0,-97.95322485501586,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.9393627576783558}",20,0,-163.09644346025146,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
57,False,"{'a': 0.6, 'e': 0.9391272745834095}",25,0,-69.75142279014958,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.9388909070568733}",25,0,-81.44520302096387,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.9386536520158714}",20,0,-107.82223041422962,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.6, 'e': 0.9384155063687044}",35,0,-211.4030170591537,"{0: 19, 1: 5, 2: 8, 3: 0, 4: 3}",0
61,False,"{'a': 0.6, 'e': 0.9381764670148396}",25,0,-137.50230795057212,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.6, 'e': 0.9379365308449025}",25,0,-120.66728095769221,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
63,False,"{'a': 0.6, 'e': 0.9376956947406677}",25,0,-155.29606283391624,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.6, 'e': 0.9374539555750505}",25,0,-167.4630939173839,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.6, 'e': 0.9372113102120986}",20,0,-102.07992597003678,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.6, 'e': 0.9369677555069831}",30,0,-48.120977731023586,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.6, 'e': 0.9367232883059913}",20,0,-77.6740365993108,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.6, 'e': 0.9364779054465177}",25,0,-164.1577097411876,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
69,False,"{'a': 0.6, 'e': 0.936231603757057}",25,0,-61.639010759111756,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.6, 'e': 0.9359843800571961}",20,0,-37.778832028441414,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.9357362311576065}",30,23,-0.42867423125811865,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.9354871538600373}",30,0,-124.28396290936251,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.9352371449573076}",20,0,-79.82752725725477,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
74,False,"{'a': 0.6, 'e': 0.9349862012332997}",25,0,-81.88612729139608,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
