trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9507515438476998}",30,0,-99.86805342941454,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9502691041239321}",25,5,-52.61686526993064,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9497820643070817}",20,0,-85.32381966311554,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9492903830556702}",25,0,-144.89051718551764,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9487940187076306}",30,0,-161.55429520477603,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9482929292788876}",25,0,-81.29079071978077,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9477870724619558}",20,0,-52.270079309340176,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9472764056245568}",25,0,-234.38058195158794,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9467608858082576}",30,0,-179.22265313198716,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9462404697271292}",20,0,-141.38656195070033,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9457151137664279}",20,0,-110.23150298676781,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9451847739812983}",25,0,-46.318849215511776,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9446494060955001}",20,0,-138.8930931729257,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9441089655001593}",25,0,-141.5244914957955,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9435634072525453}",20,0,-106.91647210579144,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9430126860748724}",25,0,-121.32786035328476,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9424567563531303}",25,0,-74.05064351029365,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9418955721359411}",20,0,-119.97877720648295,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9413290871334457}",20,6,-43.03860024944659,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-83.23441155310863,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-293.5411750449567,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 6}",0
2,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,11,-62.66834630966309,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,0,-119.66582380607571,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-154.59931376640597,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,0,-54.49667543401068,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-163.43175308979008,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,0,-142.74382260906145,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,0,-130.68437798107672,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-181.28801036465276,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,6,-40.641450993165826,"{0: 7, 1: 4, 2: 3, 3: 0, 4: 0}",1
11,True,"{'a': 0.5, 'e': 0.9407572547162202}",30,0,-189.6787429273369,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
12,True,"{'a': 0.5, 'e': 0.9407572547162202}",25,0,-32.737131880234,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,0,-91.36612180061884,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,True,"{'a': 0.5, 'e': 0.9407572547162202}",20,15,4.353653883492872,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
