trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.7648421872844885}",25,0,-91.84065819173368,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.16996714290024104}",25,0,-78.25730711859111,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.5048461045998571}",20,7,-24.78985170510134,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.9422223406686581}",25,11,-42.60175987857739,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.7, 'e': 0.9364566872907963}",25,0,-145.61972244133545,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.4902608213407002}",20,0,-77.59912067023699,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.18651236942257488}",20,12,0.3178537434565891,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.7755658785102496}",25,2,-24.414524162439783,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.9998586363834151}",30,0,-140.30105303302847,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.7539022543433046}",30,0,-105.47560964682629,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.15337386203786524}",25,13,-3.9211621604438935,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.5192886541166841}",30,23,-1.9738015542525054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.9477216021311119}",20,0,-150.95268802441896,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.9304262721047539}",20,0,-105.46321444846762,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.47553692799599256}",20,0,-64.0914629753252,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.2030048638187504}",25,0,-28.039109717459944,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.7860702961410383}",20,0,-67.39904120701152,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9994345855010047}",20,0,-159.9049614636318,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.7427491727036707}",20,0,-70.62099904206998,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.1367372182078336}",20,5,10.37158496521423,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.5335843865891177}",25,0,-78.62805711086965,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.9529529168871798}",20,0,-66.74844226027544,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.9241328000731309}",25,14,-59.13957855554579,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
24,False,"{'a': 0.7, 'e': 0.4606785874113657}",20,0,-109.20515875284296,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.2194399632114593}",25,0,-72.78851807294964,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.7963524702919231}",25,0,-2.7406356638300564,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.9987279672435017}",30,2,-184.8348429550301,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 4}",1
28,False,"{'a': 0.7, 'e': 0.7313860956454992}",20,0,-103.280645248309,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.12006191504243026}",20,9,1.247809751973303,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.5477292602242684}",25,0,-137.6494319970052,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.7, 'e': 0.9579148059017156}",25,0,-52.635826899365874,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.9175780505318613}",20,0,-123.60115125016392,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.4456900004443364}",30,9,-4.9744036520386645,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.23581302095051915}",20,0,-49.604948358457996,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.8064094939122546}",25,4,-98.3168991990474,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.7, 'e': 0.9977389813911304}",25,0,-147.10886811305096,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.7198162358201257}",20,12,8.51813107075714,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.1033526671039744}",30,12,-25.336543684711906,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.7, 'e': 0.5617192758811469}",25,0,-39.678902778303346,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.9626058663135666}",25,0,-155.35677122311415,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
